id,name,address,old_lat,old_lng,new_lat,new_lng,distance_m,loc_type,google_addr
cl40,I Luv Video,4803 Airport Blvd,30.30801,-97.71561,30.308037,-97.715306,29.3,ROOFTOP,"4803 Airport Blvd, Austin, TX 78751, USA"
cl41,Dry Creek Cafe & Boat Dock,4812 Mt Bonnell Rd,30.3327,-97.77654,30.333118,-97.776457,47.2,ROOFTOP,"4812 Mt Bonnell Rd, Austin, TX 78731, USA"
cl42,Arkie's Grill,4827 E Cesar Chavez,30.25166,-97.70214,30.251396,-97.701832,41.7,ROOFTOP,"4827 E Cesar Chavez St, Austin, TX 78702, USA"
cl43,Ruby's BBQ,Guadalupe St (campus area),30.286,-97.7415,,,,skipped,
cl44,Holiday House,Tarrytown Shopping Center,30.298,-97.774,30.300829,-97.76851,613.8,APPROXIMATE,"Tarrytown, Austin, TX 78703, USA"
cl45,Fran's Hamburgers,South Congress / Cameron Rd,30.245,-97.7498,30.328892,-97.690587,10925.7,GEOMETRIC_CENTER,"Cameron Rd, Austin, TX, USA"
cl46,South Congress Books,South Congress Ave,30.2131,-97.77013,30.248459,-97.750114,4377.0,GEOMETRIC_CENTER,"S Congress Ave, Austin, TX, USA"
cl47,Trudy's Tex-Mex (North Star),Burnet Rd,30.32446,-97.74013,30.358605,-97.730201,3914.5,GEOMETRIC_CENTER,"Burnet Rd, Austin, TX, USA"
cl48,El Mercado South,1302 S 1st St,30.25124,-97.75446,30.251335,-97.754551,13.7,ROOFTOP,"1302 S 1st St, Austin, TX 78704, USA"
cl49,Koriente,East 7th Street,30.25262,-97.69643,30.261743,-97.718718,2369.0,GEOMETRIC_CENTER,"E 7th St, Austin, TX, USA"
cl50,DipDipDip Tatsu-Ya,Burnet Rd,30.32446,-97.74013,30.358605,-97.730201,3914.5,GEOMETRIC_CENTER,"Burnet Rd, Austin, TX, USA"
cl51,Baby Acapulco (Barton Springs),Barton Springs Road,30.26071,-97.75777,30.259969,-97.754659,309.9,GEOMETRIC_CENTER,"Barton Springs Rd, Austin, TX, USA"
cl52,Sunny's Backyard,East Austin,30.259,-97.71,,,,skipped,
