id,name,type,address,old_lat,old_lng,new_lat,new_lng,distance_m,loc_type,action,google_addr
pa-grant-17,The Contemporary Austin @ Laguna Gloria,grant,3809 W 35th St,30.31,-97.774,30.312194,-97.773761,245.0,GEOMETRIC_CENTER,updated,"3809 W 35th St, Austin, TX 78703, USA"
pa-grant-18,Millett Opera House / Austin Club — Masonry,grant,110 E 9th St,30.271,-97.743,30.270899,-97.740868,205.1,ROOFTOP,updated,"110 E 9th St, Austin, TX 78701, USA"
pa-grant-19,Boggy Creek Farm — Siding,grant,3414 Lyons Rd,30.281,-97.714,30.262444,-97.701176,2402.9,ROOFTOP,updated,"3414 Lyons Rd, Austin, TX 78702, USA"
pa-grant-20,Paramount Theatre — Masonry Repair,grant,713 Congress Ave,30.2672,-97.7431,30.26942,-97.74198,269.3,ROOFTOP,updated,"Paramount Theatre, 713 N Congress Ave, Austin, TX 78701, USA"
pa-grant-21,Mary Baylor House — Clarksville Historic Designation,grant,Clarksville neighborhood,30.278,-97.757,,,,neighborhood_only,kept_centroid,
pa-grant-22,Millett Opera House — Education/Publication,grant,110 E 9th St,30.271,-97.743,30.270899,-97.740868,205.1,ROOFTOP,updated,"110 E 9th St, Austin, TX 78701, USA"
pa-grant-23,Holy Cross Neighborhood Assoc. — Add'l City Fees,grant,Holy Cross neighborhood,30.26,-97.72,,,,neighborhood_only,kept_centroid,
pa-grant-24,Rogers House — Repairs,grant,1104 E 10th St,30.274,-97.729,30.268397,-97.728938,623.1,ROOFTOP,updated,"1104 E 10th St, Austin, TX 78702, USA"
pa-grant-25,Boggy Creek Farm — Roof Repairs,grant,3414 Lyons Rd,30.281,-97.714,30.262444,-97.701176,2402.9,ROOFTOP,updated,"3414 Lyons Rd, Austin, TX 78702, USA"
pa-grant-26,El Camino Real Association,grant,N/A (regional),30.267,-97.743,,,,vague_address,kept_centroid,
pa-grant-27,Waterloo Greenway Conservancy — Park Wayfinding,grant,Waller Creek / downtown,30.27,-97.738,30.263887,-97.739633,697.6,APPROXIMATE,updated,"Waller Creek District, Austin, TX 78701, USA"
pa-grant-28,Austin History Center — Historical Performance,grant,810 Guadalupe St,30.271,-97.747,30.271708,-97.745957,127.4,ROOFTOP,updated,"810 Guadalupe St, Austin, TX 78701, USA"
pa-grant-29,Huston-Tillotson University — Seabrook Chapel,grant,900 Chicon St,30.286,-97.724,30.264551,-97.722321,2390.5,GEOMETRIC_CENTER,updated,"900 Chicon St, Austin, TX 78702, USA"
pa-grant-30,Hillside Farmacy — Painting,grant,1209 E 11th St,30.274,-97.727,30.268155,-97.726879,650.0,ROOFTOP,updated,"1209 E 11th St, Austin, TX 78702, USA"
pa-grant-31,Patricia Calhoun — Siding,grant,2401 Givens Ave,30.269,-97.721,30.281289,-97.716089,1445.6,ROOFTOP,updated,"2401 Givens Ave, Austin, TX 78722, USA"
pa-grant-32,Seymour Fogel House / Southwind — Bricks & Mortar,grant,2411 Kinney Rd,30.254,-97.752,30.244092,-97.774273,2406.3,ROOFTOP,updated,"2411 Kinney Rd, Austin, TX 78704, USA"
pa-grant-33,Patricia Calhoun — Windows & Electrical,grant,2401 Givens Ave,30.269,-97.721,30.281289,-97.716089,1445.6,ROOFTOP,updated,"2401 Givens Ave, Austin, TX 78722, USA"
pa-grant-34,Sarah Gamble — Publication on House Relocation,grant,N/A,30.267,-97.743,,,,vague_address,kept_centroid,
pa-grant-35,Cisco's Restaurant — Electrical/Plumbing,grant,1511 E 6th St,30.266,-97.73,30.262876,-97.726797,464.0,ROOFTOP,updated,"1511 E 6th St, Austin, TX 78702, USA"
pa-grant-36,Old Austin Neighborhood Assoc. — NR HD Application,grant,Old West Austin,30.275,-97.755,,,,no_street_address,kept_centroid,
pa-grant-37,Roberts Clinic — Restoration Planning,grant,1174 San Bernard St,30.269,-97.723,30.270783,-97.726376,380.0,ROOFTOP,updated,"1174 San Bernard St, Austin, TX 78702, USA"
pa-grant-38,Luther Hall — Bricks & Mortar,grant,108 W 16th St,30.277,-97.744,30.278333,-97.740182,395.5,ROOFTOP,updated,"108 W 16th St, Austin, TX 78701, USA"
pa-grant-39,Cisco's Restaurant — Paint & Mortar,grant,1511 E 6th St,30.266,-97.73,30.262876,-97.726797,464.0,ROOFTOP,updated,"1511 E 6th St, Austin, TX 78702, USA"
pa-grant-40,Patricia Calhoun — Plumbing,grant,2401 Givens Ave,30.269,-97.721,30.281289,-97.716089,1445.6,ROOFTOP,updated,"2401 Givens Ave, Austin, TX 78722, USA"
pa-grant-41,Boggy Creek Farm — Cistern,grant,3414 Lyons Rd,30.281,-97.714,30.262444,-97.701176,2402.9,ROOFTOP,updated,"3414 Lyons Rd, Austin, TX 78702, USA"
pa-grant-42,Neill-Cochran House Museum — Signs & Landscaping,grant,2310 San Gabriel St,30.282,-97.75,30.287466,-97.748289,629.6,ROOFTOP,updated,"2310 San Gabriel St, Austin, TX 78705, USA"
pa-grant-43,Oakwood Cemetery Chapel — Brick Restoration,grant,1601 Navasota St,30.274,-97.726,30.276573,-97.727688,328.8,ROOFTOP,updated,"1601 Navasota St, Austin, TX 78702, USA"
pa-grant-44,Cotton/Lyons House — ADA Ramp,grant,East Austin,30.272,-97.723,,,,vague_address,kept_centroid,
pa-grant-45,Original LC Anderson HS — Educational Display,grant,900 Thompson St,30.276,-97.721,30.258726,-97.681265,4271.9,GEOMETRIC_CENTER,updated,"900 Thompson St, Austin, TX 78702, USA"
pa-grant-46,Pease Park Conservancy — Kingsbury Commons Signs,grant,Pease Park,30.28,-97.753,30.28142,-97.751673,202.9,ROOFTOP,updated,"Pease District Park, 1100 Kingsbury St, Austin, TX 78703, USA"
pa-grant-47,Olle/Zilker House — Siding Restoration,grant,Zilker neighborhood,30.263,-97.773,,,,neighborhood_only,kept_centroid,
pa-grant-48,Texas Hillel — Parapet Restoration,grant,2105 San Antonio St,30.284,-97.741,30.284203,-97.74275,169.5,ROOFTOP,updated,"2105 San Antonio St, Austin, TX 78705, USA"
pa-grant-49,Green & White Grocery — Masonry/Roof,grant,1201 E 7th St,30.266,-97.732,30.265104,-97.730022,214.5,ROOFTOP,updated,"1201 E 7th St, Austin, TX 78702, USA"
pa-grant-50,Cotton/Lyons House — HVAC,grant,East Austin,30.272,-97.723,,,,vague_address,kept_centroid,
pa-grant-51,Millett Opera House — Publishing Grant,grant,110 E 9th St,30.271,-97.743,30.270899,-97.740868,205.1,ROOFTOP,updated,"110 E 9th St, Austin, TX 78701, USA"
pa-grant-52,Green Gate Farms — Windows/Electrical,grant,8310 Canoga Ave,30.226,-97.68,30.284581,-97.634116,7865.4,ROOFTOP,updated,"8310 Canoga Ave, Austin, TX 78724, USA"
pa-grant-53,Waterloo Greenway — Seiders Springs House,grant,Boggy Creek area,30.275,-97.72,,,,area_only,kept_centroid,
pa-grant-54,Waterloo Greenway — Palm Park Shelter Engineering,grant,"Palm Park, downtown",30.263,-97.74,30.262788,-97.737148,274.9,ROOFTOP,updated,"Sir Swante Palm Neighborhood Park, 200 N IH 35 Svrd SB, Austin, TX 78701, USA"
pa-grant-55,Liz Moskowitz — I-35 Capital Express Education,grant,I-35 corridor,30.27,-97.735,,,,vague_address,kept_centroid,
pa-grant-56,Deep Eddy Cabaret — Mortar & Drainage,grant,2315 Lake Austin Blvd,30.278,-97.773,30.277854,-97.772577,43.7,ROOFTOP,updated,"2315 Lake Austin Blvd, Austin, TX 78703, USA"
pa-grant-57,Center for Women & Their Work — Window Screens,grant,East Austin,30.266,-97.725,,,,vague_address,kept_centroid,
pa-grant-58,Neill-Cochran House Museum — Murals Project,grant,2310 San Gabriel St,30.282,-97.75,30.287466,-97.748289,629.6,ROOFTOP,updated,"2310 San Gabriel St, Austin, TX 78705, USA"
pa-grant-59,Sugarloaf Pictures — Tonkawa Documentary,grant,N/A,30.267,-97.743,,,,vague_address,kept_centroid,
pa-grant-60,Black Austin Tours — Black Barbers Project,grant,East Austin,30.272,-97.726,,,,vague_address,kept_centroid,
pa-grant-61,Austin Woman's Club / Chateau Bellevue — Doors,grant,908 W 9th St,30.272,-97.748,30.273745,-97.751882,420.3,RANGE_INTERPOLATED,updated,"908 W 9th St, Austin, TX 78703, USA"
pa-grant-62,ATX116 / Closing Chapters — AISD Schools,grant,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-grant-63,Guajardo — E 10th St Home Plumbing,grant,"E 10th St, East Austin",30.2735,-97.728,,,,no_street_address,kept_centroid,
pa-grant-64,First United Methodist Church — Column/Capital,grant,1201 Lavaca St,30.271,-97.745,30.27496,-97.742477,502.6,ROOFTOP,updated,"1201 Lavaca St, Austin, TX 78701, USA"
pa-grant-65,Future Front Texas — Community Storytelling,grant,East Austin,30.27,-97.725,,,,vague_address,kept_centroid,
pa-grant-66,Pat Calhoun — Givens Ave Roof,grant,2401 Givens Ave,30.269,-97.721,30.281289,-97.716089,1445.6,ROOFTOP,updated,"2401 Givens Ave, Austin, TX 78722, USA"
pa-grant-67,Marilynn Poole — John Chase Booklet,grant,N/A,30.267,-97.743,,,,vague_address,kept_centroid,
pa-grant-68,Judges Hill — NR HD Nomination,grant,Judges Hill neighborhood,30.279,-97.748,,,,neighborhood_only,kept_centroid,
pa-grant-69,Cherrywood NA — Manor Memories Brochure,grant,Cherrywood neighborhood,30.292,-97.715,,,,neighborhood_only,kept_centroid,
pa-grant-70,Austin Chinese American Network — Oral History,grant,East Austin / Chinatown area,30.268,-97.728,,,,vague_address,kept_centroid,
pa-grant-71,Roberts Clinic — Foundation Work,grant,1174 San Bernard St,30.269,-97.723,30.270783,-97.726376,380.0,ROOFTOP,updated,"1174 San Bernard St, Austin, TX 78702, USA"
pa-grant-72,Zeta Phi Beta / Thompson Home — Window Screens,grant,East Austin,30.269,-97.723,,,,vague_address,kept_centroid,
pa-merit-2025-1,Buford Tower & Kitchens Memorial Chimes,merit_award,UT Campus / Buford Tower,30.285,-97.733,,,,no_street_address,kept_centroid,
pa-merit-2025-2,East 9th Street Restoration,merit_award,"East 9th St, East Austin",30.271,-97.729,,,,no_street_address,kept_centroid,
pa-merit-2025-3,Henry G. Madison Cabin,merit_award,2300 Rosewood Ave,30.279,-97.7195,30.271036,-97.714897,989.7,ROOFTOP,updated,"2300 Rosewood Ave, Austin, TX 78702, USA"
pa-merit-2025-4,San Gabriel Residence,merit_award,San Gabriel St area,30.283,-97.749,,,,area_only,kept_centroid,
pa-merit-2025-5,Second Century House,merit_award,"Austin (private residence, neighborhood-level)",30.248,-97.748,,,,private_residence,kept_centroid,
pa-merit-2025-6,Tisdale Residence,merit_award,"Austin (private residence, neighborhood-level)",30.25,-97.755,,,,private_residence,kept_centroid,
pa-merit-2025-7,Dr. Sidney Jr. & Helen F. White House,merit_award,East Austin,30.272,-97.725,,,,vague_address,kept_centroid,
pa-merit-2025-8,Equity-Based Preservation Plan,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2025-9,Haskell House & Clarksville Documentary,merit_award,"1703 Waterston Ave, Clarksville",30.279,-97.756,30.281828,-97.761773,637.3,ROOFTOP,updated,"1703 Waterston Ave, Austin, TX 78703, USA"
pa-merit-2025-10,Kathy Robinson / ReUse People of Austin,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2024-1,4300 Speedway Rehabilitation,merit_award,"4300 Speedway, North Campus",30.298,-97.734,30.306992,-97.729931,1073.5,ROOFTOP,updated,"4300 Speedway, Austin, TX 78751, USA"
pa-merit-2024-2,Christianson-Leberman Building (Luther Hall),merit_award,108 W 16th St,30.277,-97.744,30.278333,-97.740182,395.5,ROOFTOP,updated,"108 W 16th St, Austin, TX 78701, USA"
pa-merit-2024-3,Hartford Home,merit_award,Hartford area (neighborhood-level),30.32,-97.745,,,,private_residence,kept_centroid,
pa-merit-2024-4,Hogg Memorial Auditorium,merit_award,"2300 Whitis Ave, UT Campus",30.286,-97.737,30.286747,-97.740572,352.9,ROOFTOP,updated,"2300 Whitis Ave, Austin, TX 78705, USA"
pa-merit-2024-5,Hutson Gallagher — Public Service,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2024-6,OFFbeat — Infill/Addition,merit_award,"Austin (private, neighborhood-level)",30.318,-97.728,,,,private_residence,kept_centroid,
pa-merit-2024-7,Old General Land Office Building,merit_award,108 E 11th St,30.273,-97.74,30.272393,-97.739844,69.1,RANGE_INTERPOLATED,updated,"108 E 11th St, Austin, TX 78701, USA"
pa-merit-2024-8,Raymond-Morley House,merit_award,"Austin (private, neighborhood-level)",30.278,-97.755,,,,private_residence,kept_centroid,
pa-merit-2024-9,Neill-Cochran House Museum — Slave Quarters + Tara Dudley,merit_award,2310 San Gabriel St,30.282,-97.75,30.287466,-97.748289,629.6,ROOFTOP,updated,"2310 San Gabriel St, Austin, TX 78705, USA"
pa-merit-2024-10,Mark Wolfe — Public Service,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2024-11,Sue Spears-Martin — Stewardship,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2024-12,Chris Riley — Public Service,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2023-1,Austin State Supported Living Center,merit_award,2203 W 35th St,30.303,-97.758,30.305588,-97.761364,432.6,GEOMETRIC_CENTER,updated,"2203 W 35th St, Austin, TX 78703, USA"
pa-merit-2023-2,Battle Hall,merit_award,UT Campus,30.285,-97.737,30.285028,-97.733523,333.9,ROOFTOP,updated,"2515 Speedway, Austin, TX 78712, USA"
pa-merit-2023-3,St. David's Episcopal Church,merit_award,301 E 8th St,30.268,-97.74,30.268531,-97.739459,78.6,ROOFTOP,updated,"301 E 8th St, Austin, TX 78701, USA"
pa-merit-2023-4,Uptown Sports Club,merit_award,1200 E 6th St,30.264,-97.733,30.264495,-97.730284,266.6,ROOFTOP,updated,"1200 E 6th St, Austin, TX 78702, USA"
pa-merit-2023-5,Windsor Road House,merit_award,Windsor Road area,30.285,-97.76,,,,area_only,kept_centroid,
pa-merit-2023-6,Huston-Tillotson University — Stewardship,merit_award,900 Chicon St,30.286,-97.724,30.264551,-97.722321,2390.5,GEOMETRIC_CENTER,updated,"900 Chicon St, Austin, TX 78702, USA"
pa-merit-2023-7,U.S. General Services Admin — LBJ Suite,merit_award,"Federal Building, downtown",30.264,-97.738,30.430396,-97.730678,18515.7,ROOFTOP,updated,"Building, 5201 Riata Park Ct, Austin, TX 78727, USA"
pa-merit-2023-8,Robin Shepherd / 5 Birds Dwellings,merit_award,"Multiple, East Austin",30.27,-97.725,,,,vague_address,kept_centroid,
pa-merit-2023-9,Black Austin Tours — Education,merit_award,East Austin,30.272,-97.726,,,,vague_address,kept_centroid,
pa-merit-2023-10,Original L.C. Anderson High School,merit_award,900 Thompson St,30.276,-97.721,30.258726,-97.681265,4271.9,GEOMETRIC_CENTER,updated,"900 Thompson St, Austin, TX 78702, USA"
pa-merit-2023-11,To Emancipate: Oakwood Cemetery Chapel,merit_award,1601 Navasota St,30.274,-97.726,30.276573,-97.727688,328.8,ROOFTOP,updated,"1601 Navasota St, Austin, TX 78702, USA"
pa-merit-2023-12,Translating Community History,merit_award,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-merit-2022-1,Bluebonnet House,merit_award,"Austin (private, neighborhood-level)",30.305,-97.735,,,,private_residence,kept_centroid,
pa-merit-2022-2,Downs Field,merit_award,2816 E 12th St,30.279,-97.7195,30.276061,-97.709425,1021.2,GEOMETRIC_CENTER,updated,"2816 E 12th St, Austin, TX 78702, USA"
pa-merit-2022-3,Haskell House,merit_award,"1703 Waterston Ave, Clarksville",30.279,-97.756,30.281828,-97.761773,637.3,ROOFTOP,updated,"1703 Waterston Ave, Austin, TX 78703, USA"
pa-merit-2022-4,Luther Hall,merit_award,108 W 16th St,30.277,-97.744,30.278333,-97.740182,395.5,ROOFTOP,updated,"108 W 16th St, Austin, TX 78701, USA"
pa-merit-2022-5,Theresa Passive House,merit_award,Theresa St area,30.278,-97.735,,,,area_only,kept_centroid,
pa-merit-2022-6,The Hangar / Garden 17,merit_award,East Austin,30.27,-97.725,,,,vague_address,kept_centroid,
pa-merit-2022-7,Parque Zaragoza Documentary,merit_award,2608 Gonzales St,30.261,-97.722,30.261746,-97.711641,998.4,ROOFTOP,updated,"2608 Gonzales St, Austin, TX 78702, USA"
pa-legacy-2023-1,BookPeople,legacy_business,603 N Lamar Blvd,30.272,-97.752,30.271844,-97.752946,92.5,ROOFTOP,updated,"603 N Lamar Blvd, Austin, TX 78703, USA"
pa-legacy-2023-2,Broken Spoke,legacy_business,3201 S Lamar Blvd,30.236,-97.7735,30.240953,-97.785134,1246.0,ROOFTOP,updated,"3201 S Lamar Blvd, Austin, TX 78704, USA"
pa-legacy-2023-3,Carousel Lounge,legacy_business,1110 E 52nd St,30.318,-97.72,30.309908,-97.708215,1445.4,ROOFTOP,updated,"1110 E 52nd St, Austin, TX 78723, USA"
pa-legacy-2023-4,Cisco's Restaurant,legacy_business,1511 E 6th St,30.266,-97.73,30.262876,-97.726797,464.0,ROOFTOP,updated,"1511 E 6th St, Austin, TX 78702, USA"
pa-legacy-2023-5,Deep Eddy Cabaret,legacy_business,2315 Lake Austin Blvd,30.278,-97.773,30.277854,-97.772577,43.7,ROOFTOP,updated,"2315 Lake Austin Blvd, Austin, TX 78703, USA"
pa-legacy-2023-6,The Driskill Hotel,legacy_business,604 Brazos St,30.267,-97.741,30.26791,-97.74161,116.9,ROOFTOP,updated,"604 Brazos St, Austin, TX 78701, USA"
pa-legacy-2023-7,Green & White Grocery,legacy_business,1201 E 7th St,30.266,-97.732,30.265104,-97.730022,214.5,ROOFTOP,updated,"1201 E 7th St, Austin, TX 78702, USA"
pa-legacy-2023-8,The Herb Bar,legacy_business,200 W Mary St,30.249,-97.755,30.245663,-97.752605,436.6,ROOFTOP,updated,"200 W Mary St, Austin, TX 78704, USA"
pa-legacy-2023-9,The Paramount Theatre,legacy_business,713 Congress Ave,30.2672,-97.7431,30.26942,-97.74198,269.3,ROOFTOP,updated,"Paramount Theatre, 713 N Congress Ave, Austin, TX 78701, USA"
pa-legacy-2023-10,Peter Pan Mini-Golf,legacy_business,1207 Barton Springs Rd,30.264,-97.771,30.260314,-97.75771,1340.6,ROOFTOP,updated,"1207 Barton Springs Rd, Austin, TX 78704, USA"
pa-legacy-2023-11,Playland Skate Center,legacy_business,8822 McCann Dr,30.38,-97.71,30.37343,-97.730623,2108.9,ROOFTOP,updated,"8822 McCann Dr, Austin, TX 78757, USA"
pa-legacy-2023-12,Quality Seafood Market,legacy_business,5621 Airport Blvd,30.318,-97.719,30.318314,-97.712223,651.4,ROOFTOP,updated,"5621 Airport Blvd, Austin, TX 78751, USA"
pa-legacy-2023-13,Waterloo Records & Video,legacy_business,600A N Lamar Blvd,30.272,-97.752,30.271932,-97.754275,218.6,ROOFTOP,updated,"600 N Lamar Blvd, Austin, TX 78703, USA"
pa-legacy-2024-1,Antone's Record Shop,legacy_business,2928 Guadalupe St #101,30.293,-97.739,30.296402,-97.742604,512.7,ROOFTOP,updated,"2928 Guadalupe St #101, Austin, TX 78705, USA"
pa-legacy-2024-2,Aster's Ethiopian Restaurant,legacy_business,2804 N I-35,30.286,-97.722,30.287267,-97.725025,322.8,ROOFTOP,updated,"2804 N Interstate Hwy 35, Austin, TX 78705, USA"
pa-legacy-2024-3,BookWoman,legacy_business,5501 N Lamar Blvd,30.325,-97.737,30.323171,-97.727582,926.5,GEOMETRIC_CENTER,updated,"5501 N Lamar Blvd, Austin, TX 78751, USA"
pa-legacy-2024-4,The Continental Club,legacy_business,1315 S Congress Ave,30.251,-97.7505,30.250506,-97.749042,150.4,ROOFTOP,updated,"1315 S Congress Ave, Austin, TX 78704, USA"
pa-legacy-2024-5,Esther's Follies,legacy_business,525 E 6th St,30.266,-97.739,30.266288,-97.737506,147.0,ROOFTOP,updated,"525 E 6th St, Austin, TX 78701, USA"
pa-legacy-2024-6,Joe's Bakery,legacy_business,2305 E 7th St,30.265,-97.7218,30.261098,-97.7167,654.3,ROOFTOP,updated,"2305 E 7th St, Austin, TX 78702, USA"
pa-legacy-2024-7,The Little Longhorn Saloon,legacy_business,5434 Burnet Rd,30.323,-97.739,30.329374,-97.740474,722.7,ROOFTOP,updated,"5434 Burnet Rd, Austin, TX 78756, USA"
pa-legacy-2024-8,Nature's Treasures,legacy_business,4103 N I-35,30.298,-97.719,30.297644,-97.717061,190.3,GEOMETRIC_CENTER,updated,"4103 N Interstate Hwy 35, Austin, TX 78722, USA"
pa-legacy-2024-9,Scholz Garten,legacy_business,1607 San Jacinto Blvd,30.274,-97.739,30.277792,-97.736908,467.1,ROOFTOP,updated,"1607 San Jacinto Blvd, Austin, TX 78701, USA"
pa-legacy-2024-10,Zilker Park Boat Rentals,legacy_business,2101 Andrew Zilker Rd,30.266,-97.771,30.264918,-97.767943,317.3,ROOFTOP,updated,"2101 Andrew Zilker Rd, Austin, TX 78746, USA"
pa-legacy-2025-1,Antone's Nightclub,legacy_business,305 E 5th St,30.265,-97.742,30.266054,-97.740391,193.9,ROOFTOP,updated,"305 E 5th St., Austin, TX 78701, USA"
pa-legacy-2025-2,Aussie's Grill & Beach Bar,legacy_business,306 Barton Springs Rd,30.263,-97.765,30.259011,-97.74822,1671.5,ROOFTOP,updated,"306 Barton Springs Rd, Austin, TX 78704, USA"
pa-legacy-2025-3,Mozart's Coffee Roasters,legacy_business,3825 Lake Austin Blvd,30.287,-97.785,30.29547,-97.783951,947.2,GEOMETRIC_CENTER,updated,"3825 Lake Austin Blvd, Austin, TX 78703, USA"
pa-legacy-2025-4,Mr. Natural,legacy_business,1901 E Cesar Chavez St,30.254,-97.725,30.256824,-97.724541,317.1,ROOFTOP,updated,"1901 E Cesar Chavez St, Austin, TX 78702, USA"
pa-legacy-2025-5,Oilcan Harry's,legacy_business,211 W 4th St,30.267,-97.746,30.266364,-97.745447,88.4,ROOFTOP,updated,"211 W 4th St, Austin, TX 78701, USA"
pa-legacy-2025-6,Room Service Vintage,legacy_business,117 E North Loop Blvd,30.318,-97.724,30.317738,-97.721653,227.2,RANGE_INTERPOLATED,updated,"117 N Loop Blvd E, Austin, TX 78751, USA"
pa-legacy-2025-7,Sam's BBQ,legacy_business,2000 E 12th St,30.277,-97.723,30.27412,-97.7188,515.0,ROOFTOP,updated,"2000 E 12th St, Austin, TX 78702, USA"
pa-legacy-2025-8,Shandeez Grill,legacy_business,8863 Anderson Mill Rd #109,30.395,-97.79,30.453806,-97.772928,6740.8,ROOFTOP,updated,"8863 Anderson Mill Rd Suite 109, Austin, TX 78729, USA"
pa-legacy-2025-9,Terra Toys,legacy_business,2438 W Anderson Ln C1,30.356,-97.736,30.357937,-97.732527,396.8,ROOFTOP,updated,"2438 W Anderson Ln. c1, Austin, TX 78757, USA"
pa-legacy-2025-10,The Saxon Pub,legacy_business,1320 S Lamar Blvd,30.252,-97.768,30.253542,-97.763576,458.2,ROOFTOP,updated,"1320 S Lamar Blvd, Austin, TX 78704, USA"
pa-adv-1,Legacy Businesses — Advocacy Priority,advocacy,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-adv-2,$300K for Equity-Based Preservation Plan,advocacy,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-adv-3,Legacy Business Month Proclamation,advocacy,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-adv-4,BIPOC Preservation Commission Training,advocacy,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-adv-5,Equity-Based Preservation Plan Adopted,advocacy,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-adv-6,East 6th St Historic Zoning Advocacy,advocacy,East 6th St corridor,30.264,-97.735,,,,no_street_address,kept_centroid,
pa-adv-7,Calhoun House — City Landmark Designation,advocacy,2401 Givens Ave,30.269,-97.721,30.281289,-97.716089,1445.6,ROOFTOP,updated,"2401 Givens Ave, Austin, TX 78722, USA"
pa-adv-8,JuanRaymon Rubio Preservation Fellowship,advocacy,Citywide,30.267,-97.743,,,,vague_address,kept_centroid,
pa-adv-9,The Black Space Project,advocacy,East Austin,30.272,-97.725,,,,vague_address,kept_centroid,
pa-adv-10,PA Moves into McFarland-McBee House,advocacy,3805 Red River St,30.296,-97.728,30.296148,-97.722698,509.3,ROOFTOP,updated,"3805 Red River St, Austin, TX 78705, USA"
