id,name,address,old_lat,old_lng,new_lat,new_lng,distance_m,source,action
op24,Cheer Up Charlies,900 Red River St,30.2705,-97.7373,30.26937,-97.73619,165,census,updated
op25,Empire Control Room & Garage,606 E 7th St,30.268,-97.7355,30.26742,-97.73668,130,census,updated
op26,Elysium,705 Red River St,30.2688,-97.7375,30.26747,-97.73672,166,census,updated
op27,Epoch Coffee,221 W North Loop Blvd,30.32,-97.738,30.31873,-97.72456,1298,census,updated
op28,Breed & Co.,718 W 29th St,30.295,-97.744,30.29626,-97.74443,146,census,updated
op29,Avenue B Grocery,4403 Avenue B,30.31,-97.737,30.30892,-97.73169,524,census,updated
op30,Mi Madre's,2201 Manor Rd (relocated),30.2841,-97.7189,,,19,census,kept_original
op31,Our Lady of Guadalupe Church,1206 E 9th St,30.27,-97.73,30.26685,-97.72825,388,census,updated
op32,Saigon Le Vendeur,8650 Spicewood Springs area,30.37,-97.743,,,,skipped,kept_original
op33,Asia Market,8650 Spicewood Springs area,30.365,-97.741,,,,skipped,kept_original
op34,Taqueria Chapala,William Cannon area,30.182,-97.753,,,,skipped,kept_original
op35,Dai Due,2406 Manor Rd,30.292,-97.722,30.28469,-97.717,944,census,updated
op36,Cherrywood Coffeehouse,1400 E 38th 1/2 St,30.297,-97.725,30.29327,-97.71633,930,census,updated
op37,Allen's Boots,1522 S Congress Ave,30.249,-97.7502,,,36,census,kept_original
op38,The Continental Club,1315 S Congress Ave,30.251,-97.7505,30.2509,-97.74911,134,census,updated
op39,Guero's Taco Bar,1412 S Congress Ave,30.25,-97.7503,30.24969,-97.74971,66,census,updated
op40,Home Slice Pizza,1415 S Congress Ave,30.2495,-97.7504,30.24964,-97.74959,79,census,updated
op41,South Congress Books,1608 S Congress Ave,30.248,-97.75,,,41,census,kept_original
cl_con,Contigo,2027 Anchor Ln,30.298,-97.705,30.28879,-97.70418,1027,census,updated
cl_wu,Weather Up,East Austin,30.264,-97.725,,,,skipped,kept_original
cl_sg,Stay Gold,1910 E Cesar Chavez,30.2628,-97.7215,30.25713,-97.72444,691,census,updated
cl_rw,Rosewood,1209 Rosewood Ave,30.2785,-97.719,30.26849,-97.72621,1311,census,updated
cl_rib,Redbud Ice House,2027 Anchor Ln,30.298,-97.705,30.28879,-97.70418,1027,census,updated
cl_otb,Old Thousand (Burnet),Burnet Rd,30.34,-97.74,30.32446,-97.74013,1728,nominatim,updated
cl1,Charlie's Playhouse,1206 E 11th St,30.2748,-97.728,30.26857,-97.72743,695,census,updated
cl2,Erwin Center Barber Shop,E 12th St,30.2775,-97.725,30.2718,-97.73236,949,nominatim,updated
cl3,Kealing Jr. High area businesses,E 12th St corridor,30.2765,-97.721,,,,failed,kept_original
cl4,Mrs. Johnson's Donuts,E 12th St,30.278,-97.7225,30.2718,-97.73236,1171,nominatim,updated
cl5,Nubian Queen Lola's,E 11th St,30.274,-97.7265,30.2706,-97.73344,766,nominatim,updated
cl6,Gene's Po-Boys,E 11th St,30.2742,-97.7245,30.2706,-97.73344,947,nominatim,updated
cl7,El Gallo Restaurant,E Cesar Chavez,30.2635,-97.727,30.2559,-97.73171,959,nominatim,updated
cl8,Tamale House East (original),E 1st St,30.2625,-97.726,,,,nominatim,reviewed
cl9,Jumpolin Piñata Store,E Cesar Chavez,30.264,-97.724,30.2559,-97.73171,1166,nominatim,updated
cl10,Las Cazuelas,E Cesar Chavez,30.263,-97.723,30.2559,-97.73171,1150,nominatim,updated
cl11,Rainey Street bungalow businesses,Rainey St,30.252,-97.7385,30.25901,-97.7387,780,nominatim,updated
cl12,Holly Neighborhood Assoc. HQ,Holly St,30.251,-97.734,30.2528,-97.72436,947,nominatim,updated
cl13,Shady Grove Restaurant,1624 Barton Springs Rd,30.258,-97.77,30.26222,-97.76167,928,census,updated
cl14,Baby Acapulco's (S Lamar),S Lamar Blvd,30.247,-97.771,30.26541,-97.75675,2463,nominatim,updated
cl15,Club 801,Red River St,30.27,-97.7368,30.28347,-97.72789,1725,nominatim,updated
cl16,Room 710,710 Red River St,30.2685,-97.7378,30.26755,-97.73683,141,census,updated
cl17,Beerland,711 Red River St,30.2692,-97.7376,30.26752,-97.7367,206,census,updated
cl18,Uncommon Objects,1512 S Congress Ave,30.2492,-97.7501,,,47,census,kept_original
cl19,Yard Dog Art Gallery,1510 S Congress Ave,30.2488,-97.7501,,,5,census,kept_original
cl20,Lucy in Disguise,1506 S Congress Ave,30.2485,-97.7502,,,40,census,kept_original
cl21,Fiesta Gardens area tiendas,Fiesta Gardens area,30.256,-97.7,,,,skipped,kept_original
cl22,Jovita's,1619 S 1st St,30.248,-97.764,30.24914,-97.75518,857,census,updated
cl23,Skylark Lounge,2039 Airport Blvd,30.278,-97.713,30.28411,-97.70491,1032,census,updated
cl24,Maria's Taco Xpress,2529 S Lamar Blvd,30.242,-97.772,30.24647,-97.77803,763,census,updated
cl25,Armadillo World Headquarters,525½ Barton Springs Rd,30.261,-97.77,30.2584,-97.7494,2000,nominatim,updated
cl26,Liberty Lunch,405 W 2nd St,30.265,-97.748,,,35,census,kept_original
cl27,Las Manitas Avenue Cafe,Congress Avenue,30.268,-97.744,30.26853,-97.74263,144,nominatim,updated
cl28,Threadgill's (North / Old No. 1),6416 N Lamar Blvd,30.338,-97.737,30.33185,-97.72267,1536,census,updated
cl29,Threadgill's World Headquarters,301 W Riverside Dr,30.256,-97.753,30.25835,-97.74822,528,census,updated
cl30,The Frisco (Night Hawk),6801 Burnet Rd,30.334,-97.74,30.3438,-97.73828,1102,census,updated
cl31,Hut's Hamburgers,807 W 6th St,30.27,-97.753,30.27037,-97.75095,201,census,updated
cl32,Katz's Deli,618 W 6th St,30.2695,-97.751,30.26976,-97.74865,228,census,updated
cl33,Dart Bowl,5700 Grover Ave,30.31,-97.753,30.32775,-97.73119,2877,census,updated
cl34,Mother's Cafe & Garden,4608 Depew Ave,30.302,-97.731,30.30598,-97.71777,1345,census,updated
cl35,Magnolia Cafe (Lake Austin),Lake Austin Blvd,30.277,-97.776,30.27959,-97.7743,331,nominatim,updated
cl36,Nau's Enfield Drug,1115 W Lynn St (Clarksville),30.278,-97.76,30.27985,-97.7593,216,census,updated
cl37,Star Seeds Cafe,I-35 Corridor,30.264,-97.735,,,,failed,kept_original
cl38,Player's,MLK/Guadalupe (campus area),30.283,-97.741,,,,skipped,kept_original
cl39,Vulcan Video,Various locations,30.24,-97.765,,,,skipped,kept_original
cl40,I Luv Video,4803 Airport Blvd,30.315,-97.717,30.30801,-97.71561,789,census,updated
cl41,Dry Creek Cafe & Boat Dock,4812 Mt Bonnell Rd,30.332,-97.773,30.3327,-97.77654,349,census,updated
cl42,Arkie's Grill,4827 E Cesar Chavez,30.257,-97.708,30.25166,-97.70214,818,census,updated
cl43,Ruby's BBQ,Guadalupe St (campus area),30.286,-97.7415,,,,skipped,kept_original
cl44,Holiday House,Tarrytown Shopping Center,30.298,-97.774,,,,failed,kept_original
cl45,Fran's Hamburgers,South Congress / Cameron Rd,30.245,-97.7498,,,,failed,kept_original
cl46,South Congress Books,South Congress Ave,30.249,-97.7502,30.2131,-97.77013,4427,nominatim,updated
cl47,Trudy's Tex-Mex (North Star),Burnet Rd,30.35,-97.74,30.32446,-97.74013,2840,nominatim,updated
cl48,El Mercado South,1302 S 1st St,30.247,-97.758,30.25124,-97.75446,581,census,updated
cl49,Koriente,East 7th Street,30.266,-97.731,30.25262,-97.69643,3638,nominatim,updated
cl50,DipDipDip Tatsu-Ya,Burnet Rd,30.32,-97.74,30.32446,-97.74013,496,nominatim,updated
cl51,Baby Acapulco (Barton Springs),Barton Springs Road,30.263,-97.771,30.26071,-97.75777,1296,nominatim,updated
cl52,Sunny's Backyard,East Austin,30.259,-97.71,,,,skipped,kept_original
