, GRANTS AWARD SUMMARY ,Council District, Program Funding , Awarded ,Award Date,Paid,Paid Date, Unpaid ,, Project Completion Notes 
39, Donley-Goode-Watson House (Nneka Shoulds - 1605 Leona)(Austin Landmark Application) ,1,," $ 1,500.00 ",Jun-22," $ 1,500.00 ",Aug-22, $ -   ,,
40, Neill-Cochran House (2310 San Gabriel)(Slave Quarters Restoration/Education) ,9,," $ 4,500.00 ",Jun-22," $ 4,500.00 ",Aug-23, $ -   ,,
41, Henry G. Madison Cabin (Austin Parks Fdn)(2300 Rosewood)(Restoration Planning) ,1,," $ 4,500.00 ",Jun-22," $ 4,500.00 ",Dec-23, $ -   ,,
42, Evergreen Cemetery (Save Austin Cemeteries)(3304 E. 12th St.)(Educational Video) ,1,," $ 4,500.00 ",Jun-22," $ 4,500.00 ",Oct-23, $ -   ,,
43," Juan and Susan Cisneros (1106 E. 8th Street) (Bricks & Mortar, painting)  ",1,," $ 3,000.00 ",Jan-23," $ 3,000.00 ",Jun-23, $ -   ,,
44," C.E. Johnson House (John and Suzie Plyler) (Bricks & Mortar, windows)  ",1,," $ 3,000.00 ",Jan-23," $ 3,000.00 ",Jun-23, $ -   ,,
45, Economy Furniture Strike Educational Sign (CARTS) (Education) ,3,," $ 2,000.00 ",Jan-23," $ 2,000.00 ",Jan-24, $ -   ,,
46," Seymour Fogel House/Southwind (Paisley Robertson, 2411 Kinney Rd)(Bricks & Mortar, patio)  ",5,," $ 2,000.00 ",Jan-23," $ 2,000.00 ",Mar-23, $ -   ,,
47," Travis Audubon Society (Education, moving historical marker) ",9,," $ 2,000.00 ",Jan-23," $ 2,000.00 ",Sep-24, $ -   ,,
48," Zeta Phi Beta (1171 San Bernard St.) (Bricks & Mortar, asbestos abatement)  ",1,," $ 5,000.00 ",Jan-23," $ 5,000.00 ",Jul-23, $ -   ,,
--," Ericka Dotson (1907 Chestnut Ave.) (Bricks & Mortar, extensive renovation)  ",--,," $ 4,200.00 ",Jun-23,,,,," May 2024 -- Ericka declined the $4,200 award after she was unable to move forward with the project. "
49," Austin Woman's Club (Chateau Bellevue, 708 San Antonio St.) (Bricks & Mortar, door restoration)  ",9,," $ 4,200.00 ",Jun-23," $ 4,200.00 ",Dec-23, $ -   ,,
50," Karen Kocher (Education, Jump: Swim-ins at Barton Springs animated documentary) ",8,," $ 4,200.00 ",Jun-23," $ 4,200.00 ",Apr-24, $ -   ,,
51," Stanton Strickland/Maverick Shaw (Roberts Clinic, 1174 San Bernard St.) (Bricks & Mortar, foundation)  ",1,," $ 4,200.00 ",Jun-23," $ 4,200.00 ",Jan-24, $ -   ,,
52," Dan and Mindy Niendorff (Sweatt House, 1209 E. 12th St.) (Bricks & Mortar, painting)  ",1,," $ 4,200.00 ",Jun-23," $ 4,200.00 ",Oct-23, $ -   ,,
--," François and Julie Lévy (1001 Lydia St.) (Bricks & Mortar, window restoration, repair, and replacement)  ",--,," $ 2,000.00 ",Jan-24,,,,," Feb. 2025 -- Francois declined the $2,000 award after delays in the project, but he might reapply in the future. "
53," Zeta Phi Beta (1171 San Bernard St.) (Bricks & Mortar, historic window restoration)  ",1,," $ 5,500.00 ",Jan-24," $ 5,500.00 ",Sep-24, $ -   ,,
54," Waterloo Greenway Conservancy (P/S/HD, Palm Park Shelter House Engineering Fees) ",9,," $ 4,000.00 ",Jan-24," $ 4,000.00 ",Jun-25, $ -   ,,
55," Liz Moskowitz (Education, I-35 Capital Express Expansion) ","1, 3, 4, & 9",," $ 3,500.00 ",Jan-24," $ 3,500.00 ",Sep-24, $ -   ,,
56," Will Bridges (Bricks & Mortar, mortar and drainage repairs at Deep Eddy Cabaret) ",10,," $ 2,000.00 ",Jun-24," $ 2,000.00 ",Sep-24, $ -   ,,
57," Center for Women & Their Work (Bricks & Mortar, window screen replacement) ",3,," $ 6,525.00 ",Jun-24," $ 6,525.00 ",Feb-25, $ -   ,,
58," Neill-Cochran House Museum (Education, NCHM 19th Century Austin Murals Project) ",9,," $ 2,000.00 ",Jun-24," $ 2,000.00 ",Mar-25, $ -   ,,
59," Sugarloaf Pictures LLC (Education, Tonkawa: They All Stay Together Documentary) ",N/A,," $ 3,750.00 ",Jun-24," $ 3,750.00 ",Oct-24, $ -   ,,
60," Javier Wallace/Black Austin Tours (Education, Black Barbers in Austin Project) ",1,," $ 3,725.00 ",Jun-24," $ 3,725.00 ",Aug-25, $ -   ,,
61, Austin Woman's Club | Chateau Bellevue | Bricks and Mortar Grant | Door Replacement and Weatheringproofing ,,," $ 2,500.00 ",Jan-26,,," $ 2,500.00 ",,
62, ATX116 | Closing Chapters | Education Grant |Documentation and Storytelling Projects for 10 Closed AISD Schools ,,," $ 2,000.00 ",Jan-26,,," $ 2,000.00 ",,
63, Joyce and Miguel Guajardo | E. 10th Street Home | Bricks and Mortar Grant |Plumbing Upgrades ,,," $ 2,000.00 ",Jan-26,,," $ 2,000.00 ",,
64, First United Methodist Church | Bricks and Mortar Grant | Column and Capital Repair ,,," $ 3,500.00 ",Jan-26,,," $ 3,500.00 ",,
65, Future Front Texas | Education Grant | Community Storytelling and Collage ,,," $ 2,000.00 ",Jan-26,,," $ 2,000.00 ",,
66, Pat Calhoun | Givens Avenue Home | Bricks and Mortar Grant | Roof Replacement ,,," $ 3,000.00 ",Jan-26,,," $ 3,000.00 ",,
67, Marilynn Poole | John Chase Booklet | Education Grant | Brochure Printing ,,," $ 1,500.00 ",Jan-26,,," $ 1,500.00 ",,
68, Marisela Maddox | Judges Hill | P/S/HD Grant | National Register Historic District Nomination ,,," $ 3,500.00 ",Jan-26,,," $ 3,500.00 ",,
69, Cherrywood Neighborhood Association | Manor Memories | Education Grant | Brochure Printing ,,," $ 1,500.00 ",Jan-26,,," $ 1,500.00 ",,
70," Austin Chinese American Network | Resonance | Education Grant | Oral History Documentation, Archival Preservation, and Public Education Focusing on Joe Lung and Inez Lee Lung ",,," $ 2,500.00 ",Jan-26,,," $ 2,500.00 ",,
71, Maverick Shaw and Stanton Strickland | Roberts Clinic | Bricks and Mortar Grant | Foundation Work ,,," $ 3,500.00 ",Jan-26,,," $ 3,500.00 ",,
72, Zeta Phi Beta Sorority | Thompson Home | Bricks and Mortar Grant | Window Screen Replacement ,,," $ 2,526.00 ",Jan-26,,," $ 2,526.00 ",,
,,,,,,,,,,
, FUNDING FORFEITED BY AWARDEE ,,," $ 14,391.92 ",,,,,,
,,,,,,,,,,
,,,,,,,,,,
, TOTALS ,," $ 277,207.18 "," $ 283,948.28 ",," $ 239,530.36 ",," $ 30,026.00 ",,
,,,,,,,,,,
, REMAINING ,, Remaining balance for future awards ," $ 7,650.82 ",,," Remaining balance in account, including pledged/ unpaid awards "," $ 37,676.82 ",,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"RLF Note from 2025: Hi Carla! We paid out our final grant award this month and according to this spreadsheet our balance should be $7,367.72. However, our actual account balance is around $11,670 accoding to Lindsey. I have been managing this spreadsheet for the past three years but I haven't been keeping track of the actual account balance so I'm unsure of when the discrepancy may have begun. I appreciate any thoughts you might have!",, Current Account Balance ," $ 11,670.00 ",,,,,,
